Term,Definition
Photosynthesis,The process by which plants convert light energy into chemical energy
Mitosis,Cell division that results in two identical daughter cells
DNA,Deoxyribonucleic acid - the molecule that carries genetic information
Ecosystem,A community of living organisms interacting with their physical environment
Gravity,The force that attracts objects toward the center of the Earth
Atom,The smallest unit of matter that retains the properties of an element
Evolution,The process by which different kinds of living organisms develop and diversify
Velocity,The speed of something in a given direction
Precipitation,Rain, snow, sleet, or hail that falls to the ground
Cell Membrane,The outer boundary of a cell that controls what enters and leaves
